cause_name,_id,cause_id
"ObjectID(""647775723de912b907133255"")",492,Rheumatic heart disease
"ObjectID(""647775723de912b907133256"")",493,Ischemic heart disease
"ObjectID(""647775723de912b907133257"")",495,Ischemic stroke
496,Intracerebral hemorrhage,"ObjectID(""647775723de912b907133258"")"
497,Subarachnoid hemorrhage,"ObjectID(""647775723de912b907133259"")"
498,Hypertensive heart disease,"ObjectID(""647775723de912b90713325a"")"
"ObjectID(""647775723de912b90713325b"")",968,Non-rheumatic calcific aortic valve disease
"ObjectID(""647775723de912b90713325c"")",969,Non-rheumatic degenerative mitral valve disease
"ObjectID(""647775723de912b90713325d"")",970,Other non-rheumatic valve diseases
"ObjectID(""647775723de912b90713325e"")",942,Myocarditis
"ObjectID(""647775723de912b90713325f"")",938,Alcoholic cardiomyopathy
"ObjectID(""647775723de912b907133260"")",944,Other cardiomyopathy
"ObjectID(""647775723de912b907133261"")",1004,Pulmonary Arterial Hypertension
"ObjectID(""647775723de912b907133262"")",500,Atrial fibrillation and flutter
"ObjectID(""647775723de912b907133263"")",501,Aortic aneurysm
"ObjectID(""647775723de912b907133264"")",502,Lower extremity peripheral arterial disease
"ObjectID(""647775723de912b907133265"")",503,Endocarditis
507,Other cardiovascular and circulatory diseases,"ObjectID(""647775723de912b907133266"")"
"ObjectID(""647775723de912b907133267"")",491,Cardiovascular diseases
"ObjectID(""647775723de912b907133268"")",492,Rheumatic heart disease
"ObjectID(""647775723de912b907133269"")",493,Ischemic heart disease
"ObjectID(""647775723de912b90713326a"")",495,Ischemic stroke
"ObjectID(""647775723de912b90713326b"")",496,Intracerebral hemorrhage
"ObjectID(""647775723de912b90713326c"")",497,Subarachnoid hemorrhage
"ObjectID(""647775723de912b90713326d"")",498,Hypertensive heart disease
"ObjectID(""647775723de912b90713326e"")",968,Non-rheumatic calcific aortic valve disease
"ObjectID(""647775723de912b90713326f"")",969,Non-rheumatic degenerative mitral valve disease
"ObjectID(""647775723de912b907133270"")",970,Other non-rheumatic valve diseases
Myocarditis,"ObjectID(""647775723de912b907133271"")",942
"ObjectID(""647775723de912b907133272"")",938,Alcoholic cardiomyopathy
"ObjectID(""647775723de912b907133273"")",944,Other cardiomyopathy
"ObjectID(""647775723de912b907133274"")",1004,Pulmonary Arterial Hypertension
"ObjectID(""647775723de912b907133275"")",500,Atrial fibrillation and flutter
Aortic aneurysm,"ObjectID(""647775723de912b907133276"")",501
Lower extremity peripheral arterial disease,"ObjectID(""647775723de912b907133277"")",502
"ObjectID(""647775723de912b907133278"")",503,Endocarditis
Other cardiovascular and circulatory diseases,"ObjectID(""647775723de912b907133279"")",507
"ObjectID(""647775723de912b90713327a"")",491,Cardiovascular diseases
"ObjectID(""647775723de912b90713327b"")",492,Rheumatic heart disease
"ObjectID(""647775723de912b90713327c"")",493,Ischemic heart disease
495,Ischemic stroke,"ObjectID(""647775723de912b90713327d"")"
"ObjectID(""647775723de912b90713327e"")",496,Intracerebral hemorrhage
Subarachnoid hemorrhage,"ObjectID(""647775723de912b90713327f"")",497
"ObjectID(""647775723de912b907133280"")",498,Hypertensive heart disease
"ObjectID(""647775723de912b907133281"")",968,Non-rheumatic calcific aortic valve disease
969,Non-rheumatic degenerative mitral valve disease,"ObjectID(""647775723de912b907133282"")"
"ObjectID(""647775723de912b907133283"")",970,Other non-rheumatic valve diseases
"ObjectID(""647775723de912b907133284"")",942,Myocarditis
"ObjectID(""647775723de912b907133285"")",938,Alcoholic cardiomyopathy
"ObjectID(""647775723de912b907133286"")",944,Other cardiomyopathy
"ObjectID(""647775723de912b907133287"")",1004,Pulmonary Arterial Hypertension
"ObjectID(""647775723de912b907133288"")",500,Atrial fibrillation and flutter
"ObjectID(""647775723de912b907133289"")",501,Aortic aneurysm
"ObjectID(""647775723de912b90713328a"")",502,Lower extremity peripheral arterial disease
503,Endocarditis,"ObjectID(""647775723de912b90713328b"")"
"ObjectID(""647775723de912b90713328c"")",507,Other cardiovascular and circulatory diseases
491,Cardiovascular diseases,"ObjectID(""647775723de912b90713328d"")"
"ObjectID(""647775723de912b90713328e"")",492,Rheumatic heart disease
"ObjectID(""647775723de912b90713328f"")",493,Ischemic heart disease
"ObjectID(""647775723de912b907133290"")",495,Ischemic stroke
"ObjectID(""647775723de912b907133291"")",496,Intracerebral hemorrhage
497,Subarachnoid hemorrhage,"ObjectID(""647775723de912b907133292"")"
Hypertensive heart disease,"ObjectID(""647775723de912b907133293"")",498
"ObjectID(""647775723de912b907133294"")",968,Non-rheumatic calcific aortic valve disease
"ObjectID(""647775723de912b907133295"")",969,Non-rheumatic degenerative mitral valve disease
"ObjectID(""647775723de912b907133296"")",970,Other non-rheumatic valve diseases
942,Myocarditis,"ObjectID(""647775723de912b907133297"")"
"ObjectID(""647775723de912b907133298"")",938,Alcoholic cardiomyopathy
"ObjectID(""647775723de912b907133299"")",944,Other cardiomyopathy
Pulmonary Arterial Hypertension,"ObjectID(""647775723de912b90713329a"")",1004
"ObjectID(""647775723de912b90713329b"")",500,Atrial fibrillation and flutter
"ObjectID(""647775723de912b90713329c"")",501,Aortic aneurysm
502,Lower extremity peripheral arterial disease,"ObjectID(""647775723de912b90713329d"")"
"ObjectID(""647775723de912b90713329e"")",503,Endocarditis
Other cardiovascular and circulatory diseases,"ObjectID(""647775723de912b90713329f"")",507
